,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,,
809,22.15,22.25,21.6,21.799999,50300,21.502625,7/5/2018,SLP,-0.011337926,-0.011337869,-4.511996678,D
810,21.700001,22.1,21.59,21.9,60900,21.601261,7/6/2018,SLP,0.004587161,0.004587202,-3.810307989,D
811,21.950001,23.549999,21.93,23.549999,150200,23.228756,7/9/2018,SLP,0.075342592,0.07534242,-6.375320076,D
812,23.6,23.950001,22.25,22.799999,283800,22.488985,7/10/2018,SLP,-0.031847207,-0.031847135,-5.804699408,D
813,22.299999,22.299999,17.75,17.85,495800,17.60651,7/11/2018,SLP,-0.217105174,-0.217105229,-0.284631401,E
814,17.799999,17.85,16.700001,17.1,285000,16.866741,7/12/2018,SLP,-0.042016788,-0.042016807,0.513793402,U
815,17.1,18.25,16.790001,18.049999,167900,17.80378,7/13/2018,SLP,0.055555427,0.055555497,0.113045394,E
816,18.049999,18.25,17.299999,17.35,191300,17.113331,7/16/2018,SLP,-0.038781034,-0.03878111,1.461357464,U
817,17.1,17.6,17.1,17.450001,87000,17.211966,7/17/2018,SLP,0.005763635,0.005763746,1.167745706,U
818,17.450001,17.700001,17.4,17.6,57900,17.359919,7/18/2018,SLP,0.008595938,0.008595931,1.493259724,U
819,17.549999,17.610001,17.209999,17.549999,45800,17.3106,7/19/2018,SLP,-0.002840969,-0.002840966,1.152338571,U
820,17.6,18.75,17.450001,18.15,134000,17.902414,7/20/2018,SLP,0.034187954,0.034188093,-0.480272291,E
821,18.4,18.9,17.809999,18.65,106500,18.395597,7/23/2018,SLP,0.027548408,0.027548209,-1.082130891,D
822,18.700001,19,18.32,18.5,83300,18.247641,7/24/2018,SLP,-0.008043012,-0.008042895,-0.760396775,D
823,18.35,19,18.299999,18.9,103600,18.702845,7/25/2018,SLP,0.024945909,0.021621622,-0.717572942,D
824,18.9,18.9,18.1,18.549999,58600,18.356497,7/26/2018,SLP,-0.018518466,-0.018518571,-0.277524044,E
825,18.65,18.65,17.49,17.65,103300,17.465883,7/27/2018,SLP,-0.048517645,-0.048517469,0.50162922,U
826,17.700001,17.950001,17.450001,17.6,74200,17.416405,7/30/2018,SLP,-0.002832837,-0.002832861,0.720553692,U
827,17.700001,17.9,17.450001,17.75,51200,17.564842,7/31/2018,SLP,0.008522827,0.008522727,0.55096169,U
828,17.799999,18.4,17.76,18.25,79300,18.059624,8/1/2018,SLP,0.028168884,0.028169014,0.21898065,E
829,18.200001,18.98,18.200001,18.299999,73900,18.109102,8/2/2018,SLP,0.002739703,0.002739671,-0.054744056,E
830,18.299999,18.57,17.91,18.1,42300,17.911192,8/3/2018,SLP,-0.010928758,-0.010928908,0.437156921,E
831,18.049999,18.5,17.9,18.25,41000,18.059624,8/6/2018,SLP,0.008287109,0.008287293,0.27223437,E
832,18.299999,18.35,17.85,18.25,52900,18.059624,8/7/2018,SLP,0,0,0.75744028,U
833,18.35,18.549999,18,18.450001,62700,18.25754,8/8/2018,SLP,0.010959032,0.010958959,0.537633044,U
834,18.549999,18.6,18.15,18.25,43000,18.059624,8/9/2018,SLP,-0.010840234,-0.010840162,0.855616268,U
835,18.200001,18.65,18.200001,18.5,48800,18.307018,8/10/2018,SLP,0.013698735,0.01369863,0.795052589,U
836,18.450001,18.75,18.200001,18.5,36700,18.307018,8/13/2018,SLP,0,0,0.737491183,U
837,18.65,19,18.32,18.950001,78600,18.752323,8/14/2018,SLP,0.024324278,0.024324378,0.418301274,E
838,18.9,19.040001,18.450001,18.950001,27700,18.752323,8/15/2018,SLP,0,0,0.675909309,U
839,19,19.25,18.75,19.049999,45900,18.85128,8/16/2018,SLP,0.005277053,0.005276939,1.23393395,U
840,19,19.5,18.85,19.25,38600,19.049194,8/17/2018,SLP,0.010498704,0.010498741,1.319797869,U
841,19.200001,19.450001,19.1,19.200001,45700,18.999718,8/20/2018,SLP,-0.002597275,-0.002597351,1.156743819,U
842,19.200001,19.5,19.15,19.35,68000,19.148151,8/21/2018,SLP,0.007812379,0.007812448,0.798336987,U
843,19.43,19.790001,19.35,19.6,53600,19.395542,8/22/2018,SLP,0.012919838,0.012919897,0.347539294,E
844,19.700001,20.25,19.6,20.25,51600,20.038763,8/23/2018,SLP,0.033163342,0.033163265,0.147964201,E
845,19.6,21.1,19.6,20.549999,94600,20.335634,8/24/2018,SLP,0.014814837,0.014814765,0.294478967,E
846,20.65,21,20.200001,20.35,58100,20.137718,8/27/2018,SLP,-0.009732473,-0.009732312,0.343140242,E
847,20.4,20.5,20.049999,20.15,57500,19.939806,8/28/2018,SLP,-0.009827926,-0.00982801,0.537679487,U
848,20.15,20.43,19.35,19.950001,62600,19.741892,8/29/2018,SLP,-0.009925573,-0.009925509,0.778274338,U
849,20,20.450001,19.700001,20.4,33800,20.187197,8/30/2018,SLP,0.022556349,0.02255634,-0.04848541,E
850,20.299999,20.950001,20.25,20.85,43400,20.632505,8/31/2018,SLP,0.022058932,0.022058824,-0.290557323,E
851,20.799999,20.799999,20.35,20.700001,36300,20.48407,9/4/2018,SLP,-0.007194231,-0.007194197,-0.242917792,E
852,20.700001,20.85,19.9,20.700001,34700,20.48407,9/5/2018,SLP,0,0,-0.389931418,E
853,20.66,20.950001,20.450001,20.75,47200,20.533548,9/6/2018,SLP,0.002415438,0.002415411,-0.538335381,D
854,20.65,20.799999,20.25,20.35,24500,20.137718,9/7/2018,SLP,-0.019277234,-0.019277108,-0.344685121,E
855,20.35,20.75,20.15,20.549999,31500,20.335634,9/10/2018,SLP,0.009828125,0.009827961,-0.692213654,D
856,20.450001,20.700001,20.15,20.450001,36200,20.236675,9/11/2018,SLP,-0.004866285,-0.004866083,0,E
857,20.5,20.549999,20.15,20.299999,20400,20.088238,9/12/2018,SLP,-0.007335049,-0.007335061,-0.099168692,E
858,20.35,20.65,20,20.200001,28700,19.989286,9/13/2018,SLP,-0.004925868,-0.00492601,0.099168692,E
859,20.35,20.73,20,20,53700,19.79137,9/14/2018,SLP,-0.009901104,-0.009901039,0.049646895,E
860,20.049999,20.1,19.65,19.85,61700,19.642935,9/17/2018,SLP,-0.007499986,-0.0075,0.346966093,E
861,19.75,20.799999,19.75,20.450001,107500,20.236675,9/18/2018,SLP,0.030226644,0.030226751,0,E
862,20.299999,20.700001,19.9,20.200001,56900,19.989286,9/19/2018,SLP,-0.012224785,-0.012224938,-0.148457336,E
863,20.049999,20.5,20.049999,20.299999,39200,20.088238,9/20/2018,SLP,0.004950252,0.004950396,-0.347104467,E
864,20.35,20.75,20,20.049999,77600,19.840847,9/21/2018,SLP,-0.012315216,-0.012315272,0.148887109,E
865,19.9,20.299999,19.450001,20.200001,75800,19.989286,9/24/2018,SLP,0.007481485,0.007481397,-0.278217615,E
866,20.200001,20.690001,19.860001,20.450001,58300,20.236675,9/25/2018,SLP,0.01237608,0.012376237,-0.328112741,E
867,20.549999,20.549999,19.75,20.049999,96300,19.840847,9/26/2018,SLP,-0.019559933,-0.019559999,0.476944761,E
868,20.15,20.200001,19.950001,19.950001,30000,19.741892,9/27/2018,SLP,-0.004987438,-0.004987432,0.337160912,E
869,19.9,20.75,19.9,20.200001,145200,19.989286,9/28/2018,SLP,0.012531423,0.012531328,-0.198251099,E
870,20.27,20.540001,19.83,19.92,38000,19.712204,10/1/2018,SLP,-0.013861526,-0.013861435,-0.009935554,E
871,19.969999,20.24,19.860001,20.120001,42400,19.910118,10/2/2018,SLP,0.010040176,0.010040211,-0.129095414,E
872,20.200001,20.629999,19.799999,20.530001,51900,20.315845,10/3/2018,SLP,0.02037793,0.020377733,-0.867256083,D
873,20.52,20.52,19.98,20.290001,49400,20.078344,10/4/2018,SLP,-0.011690432,-0.011690209,-0.683072217,D
874,20.299999,20.59,19.58,20,74800,19.79137,10/5/2018,SLP,-0.014292713,-0.014292804,-0.08061183,E
875,19.950001,20.16,19.4,19.91,172700,19.702309,10/8/2018,SLP,-0.004499992,-0.0045,0.211391266,E
876,19.9,20.25,19.700001,19.99,47800,19.781475,10/9/2018,SLP,0.004018108,0.004018081,0.888667015,U
877,19.99,20.040001,19.23,19.66,72200,19.454918,10/10/2018,SLP,-0.016508223,-0.016508254,1.502843375,U
878,19.43,20,19.43,19.610001,58000,19.405439,10/11/2018,SLP,-0.002543264,-0.002543184,0.942100306,U
879,19.860001,20.200001,19.65,19.92,55200,19.712204,10/12/2018,SLP,0.015808197,0.015808209,0.195455948,E
880,19.9,20.4,19.82,20.120001,57400,19.910118,10/15/2018,SLP,0.010040176,0.010040211,0.418086091,E
