"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"546",188.320007,188.479996,184.960007,185.990005,4761100,181.133133,2018-11-09,"HD",-0.0106915289154141,-0.0106914627659574
"547",185.229996,186.949997,179.020004,179.429993,7590400,174.744415,2018-11-12,"HD",-0.0352708413650636,-0.035270777050627
"548",177.300003,181.619995,172.850006,179,14274000,174.325668,2018-11-13,"HD",-0.00239633982007381,-0.00239643881611251
"549",182.610001,182.899994,179.149994,179.899994,7561100,175.202164,2018-11-14,"HD",0.00502792279562647,0.00502789944134063
"550",179.009995,179.669998,173.610001,177.360001,8663100,172.7285,2018-11-15,"HD",-0.0141189123668587,-0.0141189165353723
"551",173.990005,177.610001,173.509995,177.020004,6834900,172.397385,2018-11-16,"HD",-0.00191696795838547,-0.00191698803610185
"552",176.710007,178.880005,172.300003,173.589996,6203400,169.056931,2018-11-19,"HD",-0.0193764772012059,-0.0193763864111086
"553",169.25,172,167,169.050003,8661000,164.635498,2018-11-20,"HD",-0.0261535151137932,-0.0261535405531089
"554",170,170.929993,169.149994,169.300003,5752100,164.878967,2018-11-21,"HD",0.00147883659938253,0.00147885238428547
"555",169.389999,170.330002,168.470001,168.850006,2711000,164.44072,2018-11-23,"HD",-0.00265799215008422,-0.00265798577688148
"556",170.199997,172.389999,168.869995,169.820007,6140500,165.385391,2018-11-26,"HD",0.00574475105679428,0.00574474957377258
"557",169.110001,173.380005,168.820007,173.220001,7084200,168.696609,2018-11-27,"HD",0.0200212242446494,0.0200211627596976
"558",172.910004,177.649994,170.619995,177.429993,7133600,173.830292,2018-11-28,"HD",0.0304314534265475,0.0243043065217394
"559",176.800003,177.270004,174.919998,175.660004,4329300,172.096222,2018-11-29,"HD",-0.00997564912334137,-0.00997570348774124
"560",175.75,180.369995,175.110001,180.320007,8942400,176.661667,2018-11-30,"HD",0.0265284440700853,0.0265285374808486
"561",183.289993,183.5,179.350006,181.740005,7610600,178.052856,2018-12-03,"HD",0.00787487757601646,0.00787487768897432
"562",181.059998,182.229996,174.550003,175.300003,7059600,171.743515,2018-12-04,"HD",-0.0354352136873334,-0.0354352471818189
"563",173.5,176.039993,170.460007,175.960007,7571200,172.390121,2018-12-06,"HD",0.0037649514742959,0.00376499708331424
"564",175.350006,178.360001,172.240005,172.789993,6226100,169.284424,2018-12-07,"HD",-0.0180155160979323,-0.0180155369054968
"565",173.389999,173.990005,167.729996,171.690002,5373800,168.206757,2018-12-10,"HD",-0.00636601392222591,-0.00636605732138673
"566",174.300003,175.600006,171.240005,172.210007,5229400,168.716202,2018-12-11,"HD",0.00302868332453499,0.00302874363062799
"567",173.75,176.869995,172.809998,174.210007,5912500,170.675629,2018-12-12,"HD",0.0116137453117868,0.011613726953742
"568",174.309998,174.910004,172.070007,173.869995,6102200,170.342514,2018-12-13,"HD",-0.00195174320992242,-0.00195173633165635
"569",172.979996,175.139999,171.949997,172.289993,4265200,168.794571,2018-12-14,"HD",-0.00908723819821045,-0.00908726085832101
"570",171.509995,171.990005,166.929993,167.970001,5631700,164.562225,2018-12-17,"HD",-0.0250739462467663,-0.0250739577196455
"571",168.899994,171.949997,168.5,170.039993,4462200,166.59021,2018-12-18,"HD",0.0123235147069749,0.0123235815185834
"572",170.919998,174.949997,166.770004,167.559998,6996900,164.160538,2018-12-19,"HD",-0.0145847225956436,-0.0145847747711917
"573",166.279999,167.309998,162.229996,164.160004,7675600,160.829529,2018-12-20,"HD",-0.0202911676617433,-0.0202912033933065
"574",162.809998,167.960007,160.169998,160.479996,13034100,157.224167,2018-12-21,"HD",-0.022417288805217,-0.0224172021828166
"575",160.160004,161.399994,158.089996,158.139999,4547400,154.931656,2018-12-24,"HD",-0.0145811616861674,-0.0145812379008285
"576",159.460007,168.279999,159.440002,168.279999,6141500,164.865921,2018-12-26,"HD",0.0641203047619912,0.0641204000513496
"577",166.440002,170.460007,163.360001,170.320007,5069300,166.864548,2018-12-27,"HD",0.0121227418491177,0.0121227003335078
"578",171.220001,173.119995,168.600006,170.220001,4552000,166.766586,2018-12-28,"HD",-0.000587074972929646,-0.00058716531170655
"579",171.470001,173.240005,170.649994,171.820007,4206000,168.334122,2018-12-31,"HD",0.00939958080091663,0.00939963571025948
"580",169.710007,173.179993,169.050003,172.410004,4242900,168.912155,2019-01-02,"HD",0.00343384331787466,0.00343380849705111
"581",171.839996,171.839996,168.210007,168.610001,4810500,165.18924,2019-01-03,"HD",-0.0220405393560931,-0.0220405017796994
